dao,proposals_title,proposals_id,proposals_body,proposals_scores,proposals_scores_total
🍯dao.eth,Should I get 2 times one ETH,QmQ1s8FHhX2FtFGRcfbbdJmT1sU8EwPymDytsHyzFp5YoL,Should I get 2 times one ETH?,10.096352162484315,10.096352162484317
🍯dao.eth,Should I get 2 times one ETH,QmQ1s8FHhX2FtFGRcfbbdJmT1sU8EwPymDytsHyzFp5YoL,Should I get 2 times one ETH?,0.0,10.096352162484317
🍯dao.eth,What is the next achievement we should fund beneficiaries for?,QmZwnht7pRE2xGnUoQMU37eoNV8eEnobrejPZwDzdpBjaY,,0.49891337983228634,0.49891337983228634
🍯dao.eth,What is the next achievement we should fund beneficiaries for?,QmZwnht7pRE2xGnUoQMU37eoNV8eEnobrejPZwDzdpBjaY,,0.0,0.49891337983228634
🍯dao.eth,Should the 🍯️DAO set its Gnosis Safe as the controller of 🍯️dao.eth,QmWwo3TkBtUybd7wcwix6yuGtApR427FBCxiSGJNwowDoN,"This is a proposal to set the controller of the `🍯️dao.eth` ens domain to `0x0a147ddF0817ade664eB9cB343D96a21ed857D11` (the 🍯️DAO's Gnosis Safe and the address that `🍯️dao.eth` resolves to).

Vote ""yes"" to approve the change.
Vote ""no"" to reject the change.",2.711772628930414,2.7117726289304134
🍯dao.eth,Should the 🍯️DAO set its Gnosis Safe as the controller of 🍯️dao.eth,QmWwo3TkBtUybd7wcwix6yuGtApR427FBCxiSGJNwowDoN,"This is a proposal to set the controller of the `🍯️dao.eth` ens domain to `0x0a147ddF0817ade664eB9cB343D96a21ed857D11` (the 🍯️DAO's Gnosis Safe and the address that `🍯️dao.eth` resolves to).

Vote ""yes"" to approve the change.
Vote ""no"" to reject the change.",0.0,2.7117726289304134
🍯dao.eth,Test,QmZQkuw2DFuut5FdYrDji2fKoHW3rWbQd9TbcWgDSufoHa,Test,2.275147788339872,5.9011136394867325
🍯dao.eth,Test,QmZQkuw2DFuut5FdYrDji2fKoHW3rWbQd9TbcWgDSufoHa,Test,3.625965851146861,5.9011136394867325
🍯dao.eth,Donate 1 BAL on Gitcoin,QmV7WfE1vxPdwNYoom57zTRBVB38hWRPCZJgXEgD2zxK65,Test a donation of 1Bal to the reality.eth Gitcoin grant.,2.4765200702630867,2.4765200702630867
🍯dao.eth,Donate 1 BAL on Gitcoin,QmV7WfE1vxPdwNYoom57zTRBVB38hWRPCZJgXEgD2zxK65,Test a donation of 1Bal to the reality.eth Gitcoin grant.,0.0,2.4765200702630867
허경영.eth,why 5,0xc340fabba20d23630113a5783957ee786954ccd968e18cd4cf2d57874f273973,wht,0.0,0.0
허경영.eth,why 5,0xc340fabba20d23630113a5783957ee786954ccd968e18cd4cf2d57874f273973,wht,0.0,0.0
허경영.eth,why 5,0xfd06a5d0eb8d2b50ca98280cebd30785b4435def91c696c86ef6d987095cf918,wht,7.0,7.0
